            Frequency	         V(OUT)/V(IN)
                    1	     2.56432075971332
     1.12201845430196	     2.56432063999496
     1.25892541179417	     2.56432080645317
     1.41253754462275	     2.56432067966065
     1.58489319246111	     2.56432066904156
     1.77827941003892	     2.56432075145201
     1.99526231496888	     2.56432072106691
     2.23872113856834	     2.56432068066542
     2.51188643150958	     2.56432058293923
     2.81838293126445	     2.56432073021538
     3.16227766016838	     2.56432061115575
     3.54813389233575	      2.5643206059568
     3.98107170553497	     2.56432060142139
     4.46683592150963	     2.56432052533858
     5.01187233627272	     2.56432041869124
     5.62341325190348	     2.56432028841435
     6.30957344480192	     2.56432022190853
     7.07945784384137	     2.56432005454184
      7.9432823472428	     2.56431978970586
     8.91250938133744	     2.56431958910034
     9.99999999999998	     2.56431934522048
     11.2201845430196	     2.56431904358504
     12.5892541179417	     2.56431874219461
     14.1253754462275	     2.56431819162637
     15.8489319246111	     2.56431731947265
     17.7827941003892	     2.56431642330772
     19.9526231496888	     2.56431540805271
     22.3872113856833	      2.5643140349545
     25.1188643150957	     2.56431229886229
     28.1838293126445	     2.56431008873477
     31.6227766016837	      2.5643074230545
     35.4813389233575	      2.5643040091429
     39.8107170553496	     2.56429970657335
     44.6683592150962	     2.56429426628941
     50.1187233627271	      2.5642873084688
     56.2341325190347	     2.56427871019781
     63.0957344480191	     2.56426767915621
     70.7945784384136	     2.56425394184963
     79.4328234724279	     2.56423675547181
     89.1250938133743	     2.56421514094473
     99.9999999999997	     2.56418763021053
     112.201845430196	     2.56415327974441
     125.892541179416	     2.56411005255166
     141.253754462275	     2.56405532933227
     158.489319246111	     2.56398655968069
     177.827941003892	     2.56389988052218
     199.526231496887	     2.56379014925782
     223.872113856833	     2.56365017432585
     251.188643150957	      2.5634701434534
     281.838293126444	     2.56323329371662
     316.227766016837	     2.56290976649502
     354.813389233574	     2.56243904419658
     398.107170553496	     2.56168832804409
     446.683592150961	     2.56034898366568
      501.18723362727	     2.55768325525748
     562.341325190347	     2.55189940711962
     630.957344480191	     2.53865631436306
     707.945784384135	      2.5076926885834
     794.328234724278	     2.43639739333439
     891.250938133742	     2.28309793988964
     999.999999999995	     1.99964498705821
     1122.01845430196	     1.58983074289508
     1258.92541179416	     1.14705868686245
     1412.53754462275	    0.773067565048304
     1584.89319246111	    0.502291519921017
     1778.27941003891	    0.320914458974051
     1995.26231496887	    0.203562565669762
     2238.72113856833	    0.128736102575004
     2511.88643150957	   0.0813115773773387
     2818.38293126444	   0.0513290370394052
     3162.27766016836	   0.0323935433017108
     3548.13389233573	    0.020440408204789
     3981.07170553495	     0.01289664349804
     4466.83592150961	  0.00813629729803184
     5011.87233627269	  0.00513264029908085
     5623.41325190346	   0.0032375499359768
     6309.57344480189	   0.0020419719012589
     7079.45784384134	  0.00128776424500346
     7943.28234724277	  0.00081203280292335
      8912.5093813374	 0.000511993292585934
     9999.99999999994	 0.000322794024184614
     11220.1845430196	 0.000203519266557193
     12589.2541179416	 0.000128356879276822
     14125.3754462275	8.10247569199933e-005
      15848.931924611	5.12541624377096e-005
     17782.7941003891	3.25707358747137e-005
     19952.6231496887	 2.0894709139586e-005
     22387.2113856832	 1.3657849324911e-005
     25118.8643150956	9.24662177819483e-006
     28183.8293126443	6.65118737299241e-006
     31622.7766016836	5.24436907536105e-006
     35481.3389233573	4.64271731102723e-006
     39810.7170553494	4.61949794992074e-006
      44668.359215096	  5.050592551167e-006
     50118.7233627269	 5.8813667720318e-006


