            Frequency	20*LOG10(V(OUT)/V(IN))
                    1	      8.17944696499077
     1.12201845430196	      8.17944655947968
     1.25892541179417	      8.17944712330838
     1.41253754462275	      8.17944669383565
     1.58489319246111	      8.17944665786658
     1.77827941003892	        8.179446937008
     1.99526231496888	       8.1794468340873
     2.23872113856834	      8.17944669723903
     2.51188643150958	      8.17944636622001
     2.81838293126445	      8.17944686507509
     3.16227766016838	      8.17944646179526
     3.54813389233575	      8.17944644418534
     3.98107170553497	      8.17944642882293
     4.46683592150963	      8.17944617111455
     5.01187233627272	      8.17944580987772
     5.62341325190348	      8.17944536860263
     6.30957344480192	       8.1794451433335
     7.07945784384137	      8.17944457642746
      7.9432823472428	       8.1794436793724
     8.91250938133744	      8.17944299987937
     9.99999999999998	      8.17944217380694
     11.2201845430196	      8.17944115210414
     12.5892541179417	      8.17944013123112
     14.1253754462275	      8.17943826633989
     15.8489319246111	      8.17943531216975
     17.7827941003892	      8.17943227666748
     19.9526231496888	      8.17942883778035
     22.3872113856833	      8.17942418679919
     25.1188643150957	      8.17941830627508
     28.1838293126445	      8.17941082008397
     31.6227766016837	      8.17940179082623
     35.4813389233575	      8.17939022712726
     39.8107170553496	      8.17937565331872
     44.6683592150962	      8.17935722577069
     50.1187233627271	      8.17933365790458
     56.2341325190347	      8.17930453333736
     63.0957344480191	        8.179267168204
     70.7945784384136	       8.1792206359915
     79.4328234724279	      8.17916242043071
     89.1250938133743	      8.17908920480908
     99.9999999999997	      8.17899601587216
     112.201845430196	      8.17887965685355
     125.892541179416	      8.17873322653153
     141.253754462275	      8.17854785035547
     158.489319246111	      8.17831488595423
     177.827941003892	      8.17802124232014
     199.526231496887	      8.17764949065547
     223.872113856833	        8.177175255273
     251.188643150957	      8.17656527220518
     281.838293126444	      8.17576270942731
     316.227766016837	      8.17466632108526
     354.813389233574	      8.17307086208454
     398.107170553496	      8.17052578963688
     446.683592150961	      8.16598330116388
      501.18723362727	      8.15693520464101
     562.341325190347	      8.13727102015255
     630.957344480191	      8.09207819330187
     707.945784384135	      7.98548627451379
     794.328234724278	      7.73496252368752
     891.250938133742	      7.17049084339465
     999.999999999995	      6.01905797480731
     1122.01845430196	      4.02701781547272
     1258.92541179416	       1.1917127647997
     1412.53754462275	     -2.23565095357824
     1584.89319246111	      -5.9808830775654
     1778.27941003891	     -9.87221430183063
     1995.26231496887	     -13.8260416797322
     2238.72113856833	     -17.8059928613867
     2511.88643150957	     -21.7969522780015
     2818.38293126444	     -25.7927376652603
     3162.27766016836	     -29.7908308994961
     3548.13389233573	     -33.7902087076182
     3981.07170553495	     -37.7904661040248
     4466.83592150961	     -41.7914638159251
     5011.87233627269	     -45.7931834098874
     5623.41325190346	     -49.7956704860012
     6309.57344480189	     -53.7990047671386
     7079.45784384134	      -57.803272746755
     7943.28234724277	     -61.8085285323968
      8912.5093813374	     -65.8147145700145
     9999.99999999994	     -69.8214902774919
     11220.1845430196	     -73.8278894227894
     12589.2541179416	     -77.8316170078054
     14125.3754462275	     -81.8276452641598
      15848.931924611	     -85.8054171809281
     17782.7941003891	     -89.7434485850935
     19952.6231496887	     -93.5992733996696
     22387.2113856832	     -97.2923536556363
     25118.8643150956	     -100.680338125898
     28183.8293126443	     -103.542016346548
     31622.7766016836	     -105.606135043863
     35481.3389233573	     -106.664555183013
     39810.7170553494	      -106.70810442579
      44668.359215096	     -105.933153322358
     50118.7233627269	     -104.610434728223


