            Frequency	         V(OUT)/V(IN)
                    1	     5.37559545307074
     1.12201845430196	     5.37559914391449
     1.25892541179417	     5.37560439073609
     1.41253754462275	     5.37561051929746
     1.58489319246111	     5.37561835821259
     1.77827941003892	     5.37562835037978
     1.99526231496888	     5.37564057655055
     2.23872113856834	     5.37565669236601
     2.51188643150958	     5.37567615113395
     2.81838293126445	     5.37570101924474
     3.16227766016838	     5.37573269758185
     3.54813389233575	     5.37577199645729
     3.98107170553497	     5.37582161349308
     4.46683592150963	     5.37588434516172
     5.01187233627272	     5.37596323588303
     5.62341325190348	     5.37606224308892
     6.30957344480192	      5.3761869511328
     7.07945784384137	     5.37634439296126
      7.9432823472428	     5.37654247441938
     8.91250938133744	     5.37679140273405
     9.99999999999998	     5.37710524037741
     11.2201845430196	     5.37749980370783
     12.5892541179417	     5.37799695863066
     14.1253754462275	     5.37862249857465
     15.8489319246111	     5.37941054198867
     17.7827941003892	     5.38040215162818
     19.9526231496888	     5.38165020254796
     22.3872113856833	     5.38322160554204
     25.1188643150957	      5.3851994532318
     28.1838293126445	     5.38768872323278
     31.6227766016837	     5.39082253729604
     35.4813389233575	     5.39476662330525
     39.8107170553496	     5.39972981187258
     44.6683592150962	      5.4059757804366
     50.1187233627271	      5.4138341224436
     56.2341325190347	     5.42372069392002
     63.0957344480191	      5.4361544829731
     70.7945784384136	     5.45178801458649
     79.4328234724279	     5.47143584481735
     89.1250938133743	     5.49611384292944
     99.9999999999997	     5.52708312692157
     112.201845430196	     5.56589848984545
     125.892541179416	     5.61445719301719
     141.253754462275	     5.67503674960734
     158.489319246111	     5.75028917826037
     177.827941003892	     5.84314472655529
     199.526231496887	     5.95649888474333
     223.872113856833	     6.09246142607018
     251.188643150957	     6.25075813682214
     281.838293126444	       6.425636970231
     316.227766016837	     6.60068894955468
     354.813389233574	     6.74235004944378
     398.107170553496	     6.79768070576088
     446.683592150961	      6.7093986794058
      501.18723362727	     6.45630586287089
     562.341325190347	     6.09346685351893
     630.957344480191	     5.74986421605522
     707.945784384135	     5.60444057223847
     794.328234724278	     5.92975820936565
     891.250938133742	     7.14605461432152
     999.999999999995	     6.24511771190402
     1122.01845430196	     2.57437644741751
     1258.92541179416	     1.13257585141151
     1412.53754462275	    0.563654108146984
     1584.89319246111	    0.302312510728731
     1778.27941003891	    0.169870064250323
     1995.26231496887	   0.0984313275910367
     2238.72113856833	   0.0582639250040892
     2511.88643150957	   0.0350183495294509
     2818.38293126444	   0.0212844335867626
     3162.27766016836	    0.013045814778752
     3548.13389233573	  0.00804711816806651
     3981.07170553495	  0.00498792819401424
     4466.83592150961	  0.00310330414437064
     5011.87233627269	  0.00193634858253398
     5623.41325190346	  0.00121091847772159
     6309.57344480189	 0.000758579899344469
     7079.45784384134	 0.000475859661274558
     7943.28234724277	 0.000298835141231413
      8912.5093813374	 0.000187843594360518
     9999.99999999994	 0.000118190443640106
     11220.1845430196	7.44594128313049e-005
     12589.2541179416	4.70066589196435e-005
     14125.3754462275	2.97901712222201e-005
      15848.931924611	1.90204768456097e-005
     17782.7941003891	1.23192208424933e-005
     19952.6231496887	8.19274024787041e-006
     22387.2113856832	5.70190197845566e-006
     25118.8643150956	4.25577914666138e-006
     28183.8293126443	3.48610691553622e-006
     31622.7766016836	3.17349282156276e-006
     35481.3389233573	3.19948886284915e-006
     39810.7170553494	3.50865213063452e-006
      44668.359215096	 4.0820159376521e-006
     50118.7233627269	4.92495748505719e-006
     56234.1325190345	6.06402919690265e-006
     63095.7344480188	 7.5468664007625e-006
     70794.5784384133	9.44327208843725e-006
     79432.8234724275	1.18475161732515e-005
     89125.0938133739	1.48821103432558e-005
     99999.9999999992	1.87032040526588e-005
     112201.845430195	2.35077637675877e-005
     125892.541179416	2.95426841925488e-005
     141253.754462274	3.71160511381966e-005
      158489.31924611	4.66107947410733e-005
     177827.941003891	5.85008672446853e-005
     199526.231496886	7.33700643000759e-005
     223872.113856832	9.19332057323127e-005
     251188.643150956	 0.000115059119508385
     281838.293126443	 0.000143793983935361
     316227.766016835	 0.000179382650261865
     354813.389233572	 0.000223284000182655
     398107.170553494	  0.00027717452750002
     446683.592150959	 0.000342931946515457
     501187.233627268	 0.000422588536292595
     562341.325190344	  0.00051824243793522
     630957.344480187	 0.000631915587589313
     707945.784384131	 0.000765351133217059
     794328.234724274	 0.000919751877243926
     891250.938133737	  0.00109547558279887
      999999.99999999	  0.00129172070909422


