            Frequency	20*LOG10(V(OUT)/V(IN))
                    1	      14.6085315583936
     1.12201845430196	      14.6085375220586
     1.25892541179417	      14.6085459998654
     1.41253754462275	      14.6085559023756
     1.58489319246111	      14.6085685684536
     1.77827941003892	      14.6085847137182
     1.99526231496888	      14.6086044686273
     2.23872113856834	      14.6086305083118
     2.51188643150958	       14.608661949383
     2.81838293126445	      14.6087021305919
     3.16227766016838	      14.6087533153078
     3.54813389233575	      14.6088168125958
     3.98107170553497	      14.6088969808225
     4.46683592150963	      14.6089983378262
     5.01187233627272	      14.6091258017051
     5.62341325190348	      14.6092857651772
     6.30957344480192	      14.6094872486597
     7.07945784384137	       14.609741611526
      7.9432823472428	       14.610061621158
     8.91250938133744	      14.6104637594891
     9.99999999999998	      14.6109707309108
     11.2201845430196	      14.6116080641333
     12.5892541179417	      14.6124110456955
     14.1253754462275	      14.6134212833348
     15.8489319246111	      14.6146937944176
     17.7827941003892	      14.6162947538696
     19.9526231496888	      14.6183093199103
     22.3872113856833	      14.6208451667507
     25.1188643150957	      14.6240358605123
     28.1838293126445	      14.6280499233223
     31.6227766016837	      14.6331007069061
     35.4813389233575	      14.6394532383842
     39.8107170553496	       14.647440588502
     44.6683592150962	      14.6574819132834
     50.1187233627271	      14.6700989008322
     56.2341325190347	      14.6859463302606
     63.0957344480191	      14.7058357976678
     70.7945784384136	      14.7307792107318
     79.4328234724279	        14.76202622558
     89.1250938133743	       14.801114396765
     99.9999999999997	      14.8499199277558
     112.201845430196	      14.9107056292455
     125.892541179416	      14.9861554987791
     141.253754462275	      15.0793735643517
     158.489319246111	      15.1937937124529
     177.827941003892	      15.3329328662565
     199.526231496887	      15.4998212961011
     223.872113856833	      15.6958557632972
     251.188643150957	      15.9186538978268
     281.838293126444	      16.1583237107119
     316.227766016837	       16.391785351366
     354.813389233574	      16.5762259295708
     398.107170553496	      16.6472152291162
     446.683592150961	      16.5336719773942
      501.18723362727	      16.1996819318346
     562.341325190347	      15.6972890610614
     630.957344480191	      15.1931517775692
     707.945784384135	      14.9706453680034
     794.328234724278	      15.4607397004079
     891.250938133742	      17.0813266202219
     999.999999999995	      15.9108125728535
     1122.01845430196	      8.21344106956615
     1258.92541179416	      1.08134594873212
     1412.53754462275	     -4.97974646662146
     1584.89319246111	     -10.3908775970969
     1778.27941003891	     -15.3976629789921
     1995.26231496887	     -20.1373331462911
     2238.72113856833	      -24.692005241335
     2511.88643150957	     -29.1140865352076
     2818.38293126444	     -33.4387580522472
     3162.27766016836	     -37.6905758355056
     3548.13389233573	     -41.8871924244056
     3981.07170553495	     -46.0415961446391
     4466.83592150961	     -50.1635131718559
     5011.87233627269	     -54.2603291611749
     5623.41325190346	     -58.3377018748336
     6309.57344480189	     -62.3999733860903
     7079.45784384134	     -66.4504221775439
     7943.28234724277	     -70.4913666682228
      8912.5093813374	      -74.524072203794
     9999.99999999994	     -78.5483527435709
     11220.1845430196	     -82.5616078568811
     12589.2541179416	     -86.5568123190675
     14125.3754462275	     -90.5185400124687
      15848.931924611	     -94.4155719889594
     17782.7941003891	     -98.1883351851631
     19952.6231496887	     -101.731416285956
     22387.2113856832	     -104.879605058601
     25118.8643150956	     -107.420418356154
     28183.8293126443	     -109.153185952579
     31622.7766016836	     -109.969249594451
     35481.3389233573	     -109.898387944694
     39810.7170553494	     -109.097193765558
      44668.359215096	     -107.782506079509
     50118.7233627269	     -106.151950284382
     56234.1325190345	     -104.344774326863
     63095.7344480188	     -102.444666761733
     70794.5784384133	      -100.49754993665
     79432.8234724275	     -98.5274537953033
     89125.0938133739	     -96.5467095942902
     99999.9999999992	     -94.5616797589029
     112201.845430195	     -92.5757736442886
     125892.541179416	     -90.5910009610821
     141253.754462274	     -88.6087647116268
      158489.31924611	     -86.6302698406316
     177827.941003891	      -84.656753913642
     199526.231496886	      -82.689622006359
     223872.113856832	     -80.7305519133887
     251188.643150956	     -78.7815790748551
     281838.293126443	     -76.8451856724328
     316227.766016835	     -74.9243912771102
     354813.389233572	     -73.0228479193448
     398107.170553494	     -71.1449336828276
     446683.592150959	     -69.2958411084845
     501187.233627268	     -67.4816457676521
     562341.325190344	      -65.709340526099
     630957.344480187	     -63.9868186334852
     707945.784384131	     -62.3227854085143
     794328.234724274	     -60.7265863417313
     891250.938133737	     -59.2079459608587
      999999.99999999	     -57.7766275536174


