            Frequency	      P(V(OUT)/V(IN))
                    1	   -0.141543272710246
     1.12201845430196	   -0.158814174147989
     1.25892541179417	   -0.178192436760833
     1.41253754462275	   -0.199935203605213
     1.58489319246111	    -0.22433100847379
     1.77827941003892	   -0.251703553918545
     1.99526231496888	   -0.282416045802615
     2.23872113856834	    -0.31687605937869
     2.51188643150958	   -0.355540852345298
     2.81838293126445	    -0.39892346442957
     3.16227766016838	   -0.447599598418601
     3.54813389233575	   -0.502215183022355
     3.98107170553497	    -0.56349490536307
     4.46683592150963	   -0.632252025821068
     5.01187233627272	   -0.709398881430782
     5.62341325190348	   -0.795959288449255
     6.30957344480192	   -0.893081902119226
     7.07945784384137	    -1.00205562844766
      7.9432823472428	    -1.12432667080275
     8.91250938133744	    -1.26151777656077
     9.99999999999998	    -1.41544979067165
     11.2201845430196	    -1.58816574853545
     12.5892541179417	    -1.78195827593654
     14.1253754462275	    -1.99940001762359
     15.8489319246111	    -2.24337803348741
     17.7827941003892	    -2.51713155470147
     19.9526231496888	    -2.82429599785859
     22.3872113856833	     -3.1689520969053
     25.1188643150957	    -3.55567879613167
     28.1838293126445	    -3.98961691570157
     31.6227766016837	    -4.47653562389266
     35.4813389233575	    -5.02291413331247
     39.8107170553496	    -5.63602596038128
     44.6683592150962	    -6.32404167862453
     50.1187233627271	    -7.09613867891184
     56.2341325190347	    -7.96263037994289
     63.0957344480191	     -8.9351120843943
     70.7945784384136	    -10.0266239300297
     79.4328234724279	     -11.251844238689
     89.1250938133743	    -12.6273038934245
     99.9999999999997	     -14.171646615819
     112.201845430196	    -15.9059166557162
     125.892541179416	    -17.8539129096756
     141.253754462275	     -20.042608870894
     158.489319246111	    -22.5026445784112
     177.827941003892	    -25.2689608113023
     199.526231496887	    -28.3815596273994
     223.872113856833	    -31.8865233629715
     251.188643150957	    -35.8372996250527
     281.838293126444	    -40.2965072727461
     316.227766016837	    -45.3384257483889
     354.813389233574	     -51.052664053634
     398.107170553496	     -57.549666133233
     446.683592150961	    -64.9692839642227
      501.18723362727	    -73.4943671318186
     562.341325190347	    -83.3720357520653
     630.957344480191	    -94.9445507915746
     707.945784384135	    -108.682912499711
     794.328234724278	    -125.178337108375
     891.250938133742	    -144.941008672292
     999.999999999995	    -167.761624355816
     1122.01845430196	    -191.930230594412
     1258.92541179416	    -214.795859891384
     1412.53754462275	     -234.62243192669
     1584.89319246111	    -251.180900874556
     1778.27941003891	    -264.976338567281
     1995.26231496887	    -276.601565162777
     2238.72113856833	    -286.530634158705
     2511.88643150957	    -295.108854686756
     2818.38293126444	    -302.586372182538
     3162.27766016836	    -309.149393734381
     3548.13389233573	    -314.941881151888
     3981.07170553495	    -320.079632022539
     4466.83592150961	    -324.659478109496
     5011.87233627269	    -328.765636744639
     5623.41325190346	    -332.474512985897
     6309.57344480189	    -335.858801399472
     7079.45784384134	    -338.991548339366
     7943.28234724277	    -341.950644128236
      8912.5093813374	    -344.824325430603
     9999.99999999994	    -347.718298553569
     11220.1845430196	    -350.765250852672
     12589.2541179416	    -354.137709619137
     14125.3754462275	     -358.06518176774
      15848.931924611	    -362.856049941219
     17782.7941003891	    -368.922254725092
     19952.6231496887	    -376.797487204582
     22387.2113856832	    -387.120719617086
     25118.8643150956	    -400.519907311367
     28183.8293126443	    -417.297990146878
     31622.7766016836	    -436.922624816511
     35481.3389233573	    -457.717563067918
     39810.7170553494	    -477.397057753294
      44668.359215096	    -494.209005000238
     50118.7233627269	    -507.540423080724




