            Frequency	20*LOG10(V(OUT)/V(IN))
                    1	     -125.898806913499
     1.12201845430196	      -123.89881189238
     1.25892541179417	     -121.898815783321
     1.41253754462275	       -119.8988192117
     1.58489319246111	     -117.898822150968
     1.77827941003892	     -115.898823780305
     1.99526231496888	     -113.898826225741
     2.23872113856834	     -111.898828123586
     2.51188643150958	     -109.898829621286
     2.81838293126445	     -107.898831198122
     3.16227766016838	     -105.898833095141
     3.54813389233575	     -103.898835119912
     3.98107170553497	     -101.898837426025
     4.46683592150963	     -99.8988395899249
     5.01187233627272	     -97.8988431957029
     5.62341325190348	     -95.8988475654084
     6.30957344480192	     -93.8988519249693
     7.07945784384137	     -91.8988579330822
      7.9432823472428	     -89.8988660935099
     8.91250938133744	     -87.8988750402672
     9.99999999999998	     -85.8988871573745
     11.2201845430196	     -83.8989018133675
     12.5892541179417	     -81.8989211960891
     14.1253754462275	     -79.8989442458098
     15.8489319246111	       -77.89897471832
     17.7827941003892	      -75.899011590316
     19.9526231496888	      -73.899059276602
     22.3872113856833	     -71.8991189601181
     25.1188643150957	     -69.8991931755088
     28.1838293126445	     -67.8992879581426
     31.6227766016837	     -65.8994070889267
     35.4813389233575	     -63.8995564264618
     39.8107170553496	     -61.8997446757498
     44.6683592150962	     -59.8999817722564
     50.1187233627271	     -57.9002808590958
     56.2341325190347	     -55.9006571955401
     63.0957344480191	     -53.9011323563612
     70.7945784384136	     -51.9017304894312
     79.4328234724279	     -49.9024858905563
     89.1250938133743	     -47.9034385726733
     99.9999999999997	     -45.9046410733846
     112.201845430196	     -43.9061608879781
     125.892541179416	     -41.9080826903887
     141.253754462275	     -39.9105162496241
     158.489319246111	     -37.9136022632515
     177.827941003892	     -35.9175214014093
     199.526231496887	     -33.9225092676212
     223.872113856833	     -31.9288758994766
     251.188643150957	     -29.9370272166448
     281.838293126444	     -27.9475038407296
     316.227766016837	     -25.9610309591714
     354.813389233574	     -23.9785898535836
     398.107170553496	     -22.0015250234295
     446.683592150961	      -20.031690693709
      501.18723362727	     -18.0716692663192
     562.341325190347	     -16.1250804883098
     630.957344480191	      -14.197010453274
     707.945784384135	     -12.2946007871999
     794.328234724278	     -10.4277966153846
     891.250938133742	      -8.6102165369109
     999.999999999995	     -6.85995865640761
     1122.01845430196	     -5.19996375607567
     1258.92541179416	     -3.65727177140723
     1412.53754462275	     -2.26044247657578
     1584.89319246111	     -1.03487220933647
     1778.27941003891	   0.00300882348066367
     1995.26231496887	     0.850285212165155
     2238.72113856833	      1.51842998304034
     2511.88643150957	      2.02998626184455
     2818.38293126444	      2.41292491466773
     3162.27766016836	      2.69531454449457
     3548.13389233573	      2.90189061890054
     3981.07170553495	      3.05266627451798
     4466.83592150961	      3.16294511905027
     5011.87233627269	      3.24401660673642
     5623.41325190346	       3.3040316144509
     6309.57344480189	      3.34880802810097
     7079.45784384134	      3.38248588515523
     7943.28234724277	      3.40801375061893
      8912.5093813374	        3.427502602736
     9999.99999999994	       3.4424769986793
     11220.1845430196	      3.45404601800529
     12589.2541179416	       3.4630250740819
     14125.3754462275	      3.47001972432232
      15848.931924611	      3.47548433515462
     17782.7941003891	      3.47976021977421
     19952.6231496887	      3.48310796838821
     22387.2113856832	      3.48572627196642
     25118.8643150956	      3.48776812302395
     28183.8293126443	      3.48935022505383
     31622.7766016836	      3.49056225604397
     35481.3389233573	      3.49147244354884
     39810.7170553494	      3.49213062281759
      44668.359215096	      3.49257259998407
     50118.7233627269	       3.4928241879487
     56234.1325190345	      3.49289870108766
     63095.7344480188	      3.49280051543744
     70794.5784384133	      3.49252391418273
     79432.8234724275	      3.49205523925268
     89125.0938133739	      3.49136916588424
     99999.9999999992	       3.4904293890136


