1150	896	200	105	20
1250	888	200	142	20
1350	888	200	164	50
1450	888	200	204	50
1550	888	200	264	50
1650	888	200	350	50
1750	888	200	572	100
1850	888	200	888	200
1900	888	200	1020	200
1920	580	200	704	100
1950	888	200	1010	200
2000	888	200	816	200
2050	888	200	644	100
2150	888	200	456	100
2250	888	200	340	100
2350	888	200	240	50
2450	888	200	226	50
2550	888	200	190	50
2650	888	200	170	50
2750	920	200	160	50
2850	920	200	144	50
2950	920	200	132	50





