Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     448.0E-6	      4.560	      448.0E-6	     0.0000
     452.0E-6	      4.560	      452.0E-6	     0.0000
     456.0E-6	      4.640	      456.0E-6	     0.0000
     460.0E-6	      4.560	      460.0E-6	     0.0000
     464.0E-6	      4.560	      464.0E-6	     0.0000
     468.0E-6	      4.560	      468.0E-6	     0.0000
     472.0E-6	      4.640	      472.0E-6	      80.00E-3
     476.0E-6	      4.560	      476.0E-6	     0.0000
     480.0E-6	      4.560	      480.0E-6	      80.00E-3
     484.0E-6	      4.560	      484.0E-6	     0.0000
     488.0E-6	      4.560	      488.0E-6	      80.00E-3
     492.0E-6	      4.560	      492.0E-6	     0.0000
     496.0E-6	      4.560	      496.0E-6	     0.0000
     500.0E-6	      4.560	      500.0E-6	     0.0000
     504.0E-6	      4.560	      504.0E-6	     0.0000
     508.0E-6	      4.480	      508.0E-6	     0.0000
     512.0E-6	      4.560	      512.0E-6	     0.0000
     516.0E-6	      4.560	      516.0E-6	     0.0000
     520.0E-6	      4.560	      520.0E-6	      80.00E-3
     524.0E-6	      4.640	      524.0E-6	     0.0000
     528.0E-6	      4.560	      528.0E-6	     0.0000
     532.0E-6	      4.560	      532.0E-6	     0.0000
     536.0E-6	      4.560	      536.0E-6	     0.0000
     540.0E-6	      4.560	      540.0E-6	     0.0000
     544.0E-6	      4.560	      544.0E-6	     0.0000
     548.0E-6	      4.480	      548.0E-6	     0.0000
     552.0E-6	      4.560	      552.0E-6	     0.0000
     556.0E-6	      4.560	      556.0E-6	     0.0000
     560.0E-6	      4.560	      560.0E-6	      80.00E-3
     564.0E-6	      4.640	      564.0E-6	     0.0000
     568.0E-6	      4.560	      568.0E-6	     0.0000
     572.0E-6	      4.560	      572.0E-6	     0.0000
     576.0E-6	      4.560	      576.0E-6	     0.0000
     580.0E-6	      4.560	      580.0E-6	     0.0000
     584.0E-6	      4.560	      584.0E-6	     0.0000
     588.0E-6	      4.560	      588.0E-6	     0.0000
     592.0E-6	      4.560	      592.0E-6	     0.0000
     596.0E-6	      4.560	      596.0E-6	      80.00E-3
     600.0E-6	      4.560	      600.0E-6	     0.0000
     604.0E-6	      4.560	      604.0E-6	     0.0000
     608.0E-6	      4.560	      608.0E-6	      80.00E-3
     612.0E-6	      4.560	      612.0E-6	     0.0000
     616.0E-6	      4.640	      616.0E-6	      80.00E-3
     620.0E-6	      4.640	      620.0E-6	      80.00E-3
     624.0E-6	      4.560	      624.0E-6	      80.00E-3
     628.0E-6	      4.560	      628.0E-6	     0.0000
     632.0E-6	      4.640	      632.0E-6	     0.0000
     636.0E-6	      4.640	      636.0E-6	     0.0000
     640.0E-6	      4.640	      640.0E-6	     0.0000
     644.0E-6	      4.560	      644.0E-6	      80.00E-3
     648.0E-6	      4.560	      648.0E-6	     0.0000
     652.0E-6	      4.560	      652.0E-6	     0.0000
     656.0E-6	      4.480	      656.0E-6	     0.0000
     660.0E-6	      4.560	      660.0E-6	      80.00E-3
     664.0E-6	      4.560	      664.0E-6	      80.00E-3
     668.0E-6	      4.560	      668.0E-6	      80.00E-3
     672.0E-6	      4.560	      672.0E-6	      80.00E-3
     676.0E-6	      4.560	      676.0E-6	      80.00E-3
     680.0E-6	      4.560	      680.0E-6	      80.00E-3
     684.0E-6	      4.560	      684.0E-6	     0.0000
     688.0E-6	      4.560	      688.0E-6	     0.0000
     692.0E-6	      4.560	      692.0E-6	      80.00E-3
     696.0E-6	      4.560	      696.0E-6	     0.0000
     700.0E-6	      4.560	      700.0E-6	     0.0000
     704.0E-6	      4.640	      704.0E-6	      80.00E-3
     708.0E-6	      4.560	      708.0E-6	     0.0000
     712.0E-6	      4.560	      712.0E-6	     0.0000
     716.0E-6	      4.560	      716.0E-6	      80.00E-3
