            Frequency	         V(OUT)/V(IN)
                    1	     1.90635449655686
     1.07977516232771	     1.90635432572991
     1.16591440117983	     1.90635416557776
     1.25892541179417	      1.9063540376522
     1.35935639087853	     1.90635384786687
     1.46779926762207	     1.90635362551768
     1.58489319246111	     1.90635328554947
     1.71132830416178	      1.9063529869901
     1.84784979742229	     1.90635265705576
     1.99526231496888	     1.90635223067055
     2.15443469003188	     1.90635177094516
     2.32630506715363	     1.90635123224783
     2.51188643150958	     1.90635058116014
     2.71227257933203	     1.90634979849818
     2.92864456462524	     1.90634888166618
     3.16227766016838	     1.90634784741545
      3.4145488738336	     1.90634661584687
     3.68694506451958	     1.90634525258172
     3.98107170553497	       1.906343615449
     4.29866234708228	     1.90634159809279
     4.64158883361278	     1.90633937416885
     5.01187233627272	     1.90633680835054
     5.41169526546464	     1.90633370275435
     5.84341413373518	     1.90633016390819
     6.30957344480193	      1.9063260178042
     6.81292069057961	      1.9063211801102
     7.35642254459641	     1.90631555201387
     7.94328234724281	     1.90630903742995
     8.57695898590894	     1.90630132498187
     9.26118728128793	     1.90629238822974
                   10	     1.90628191721923
     10.7977516232771	     1.90626982733751
     11.6591440117983	     1.90625570062542
     12.5892541179417	     1.90623918685789
     13.5935639087853	     1.90621981590922
     14.6779926762207	     1.90619741425273
     15.8489319246111	     1.90617122069794
     17.1132830416178	     1.90614068094716
     18.4784979742229	     1.90610518436591
     19.9526231496888	      1.9060636950115
     21.5443469003188	     1.90601535637015
     23.2630506715363	     1.90595892261248
     25.1188643150958	     1.90589316825709
     27.1227257933203	     1.90581661344945
     29.2864456462524	     1.90572715867262
     31.6227766016838	     1.90562306871181
      34.145488738336	      1.9055016227252
     36.8694506451957	     1.90535995052667
     39.8107170553497	     1.90519498339735
     42.9866234708228	     1.90500251311126
     46.4158883361278	     1.90477812341559
     50.1187233627272	     1.90451664861956
     54.1169526546464	     1.90421175544028
     58.4341413373518	     1.90385634537743
     63.0957344480193	     1.90344201510914
     68.1292069057961	     1.90295916028588
     73.5642254459641	     1.90239617819147
     79.4328234724281	     1.90174015838345
     85.7695898590894	     1.90097543601619
     92.6118728128793	     1.90008427482505
                  100	     1.89904576271587
     107.977516232771	     1.89783555595774
     116.591440117983	      1.8964255327422
     125.892541179417	     1.89478284734843
     135.935639087853	     1.89286922823868
     146.779926762207	     1.89064055568934
     158.489319246111	     1.88804508204262
     171.132830416178	     1.88502338203402
     184.784979742229	     1.88150595204795
     199.526231496888	     1.87741292295657
     215.443469003188	     1.87265124578816
     232.630506715363	     1.86711386699123
     251.188643150958	     1.86067721388229
     271.227257933203	     1.85319890683847
     292.864456462524	     1.84451508018601
     316.227766016838	     1.83443834556994
      341.45488738336	     1.82275384569989
     368.694506451957	     1.80921714976702
     398.107170553497	     1.79355023995926
     429.866234708228	      1.7754387997042
     464.158883361278	     1.75452861388212
     501.187233627272	     1.73042292431795
     541.169526546464	     1.70267979728786
     584.341413373517	     1.67081021389637
     630.957344480193	     1.63427681411134
     681.292069057961	     1.59249522882722
     735.642254459641	     1.54483739269793
     794.328234724281	     1.49064114968484
     857.695898590894	     1.42923040065084
     926.118728128793	     1.35995466606723
                 1000	     1.28226273627616
     1079.77516232771	     1.19582707578444
     1165.91440117983	     1.10073567058058
     1258.92541179417	    0.997742085776682
     1359.35639087853	    0.888520986173409
     1467.79926762207	    0.775806424357418
     1584.89319246111	    0.663261400469446
     1711.32830416178	    0.555000060307786
     1847.84979742229	    0.454867493705853
     1995.26231496888	    0.365753061272108
     2154.43469003188	    0.289209485973785
     2326.30506715363	    0.225468235935122
     2511.88643150958	    0.173743783916607
     2712.27257933203	    0.132639797751727
     2928.64456462524	    0.100511560689832
     3162.27766016838	    0.075720971543334
      3414.5488738336	   0.0567824093707409
     3686.94506451957	   0.0424258200800455
     3981.07170553497	   0.0316076496299787
     4298.66234708228	   0.0234937556365026
     4641.58883361278	   0.0174303772671217
     5011.87233627272	   0.0129124136834098
     5411.69526546464	  0.00955373853939168
     5843.41413373518	  0.00706151452669729
     6309.57344480193	  0.00521500358584225
     6812.92069057961	  0.00384859457932828
     7356.42254459641	  0.00283848893503664
     7943.28234724281	  0.00209241271628755
     8576.95898590894	  0.00154174855980965
     9261.18728128794	  0.00113556471432405
                10000	 0.000836114775124985
     10797.7516232771	 0.000615458889120106
     11659.1440117983	  0.00045293711706496
     12589.2541179417	 0.000333285972481647
     13593.5639087853	 0.000245237028868118
     14677.9926762207	 0.000180476483816691
     15848.9319246111	 0.000132873921838284
     17113.2830416178	9.79112353137784e-005
     18478.4979742229	7.22602287607615e-005
     19952.6231496888	5.34705075719671e-005
     21544.3469003188	3.97390509432615e-005
     23263.0506715363	2.97401227103045e-005
     25118.8643150958	2.24998650948836e-005
     27122.7257933203	1.73038463168119e-005
     29286.4456462524	1.36289938975599e-005
     31622.7766016838	1.10935368000667e-005
      34145.488738336	9.42032247412811e-006
     36869.4506451958	8.41002512605786e-006
     39810.7170553497	 7.9215573435792e-006
     42986.6234708228	7.85761308535891e-006
     46415.8883361278	8.15392949056327e-006
     50118.7233627272	8.77142935965919e-006
     54116.9526546464	 9.6907000950394e-006
     58434.1413373518	1.09082716031541e-005
